ID,Municipality,ProjectID,Include in Summary,Project Name,Parent Project Number,MP Lvl,Developer,District,2024Precinct,Pr_Order,2014 Precinct,Stage Name,Approved,Approval Year,Total GFA,Residential Population,Residential Units,Apt,Villa,Residential GFA,Retail GFA,Office GFA,Hotel GFA,Community Facilities GFA,Industrial GFA,Other GFA,Education GFA,Health Care GFA,Other_CF,Approved Completion Year,Notes,EH,Un allocated Villa Plots,Phasing_Note,Planning Status,Delivery Status,Major,Link,Updated,TMP TAZs,TAZ_Mapping_Remarks,POP NONLAB,RES GFA,RETAIL GFA,OFFICE GFA,TMP Aligned,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,Check,2040_Assignment
68,Abu Dhabi,18211.0,Yes,Masnouah Island West,,Level 0,Masnouah Island West,QIRQISHAN,Western Islands,6,Western Islands,Concept,Yes,2019,35000,0,0,0,0,1200,2500,0,31300,0,0,0,,,,NA,,,,Approved but Not Delivered,Planned,Pipeline,,folder,,0,,0,0,0,0,New TAZ,,,,,,,,,1,,,,,,,,,1,1
69,Abu Dhabi,38190.0,Yes,Luxury Island,,Level 0,NA,QIRQISHAN,Western Islands,6,Western Islands,Concept,Yes,2023,345816,1599,219,0,219,275000,7850,0,39000,23966,,,,,,2026,,,,Approved but Not Delivered,Planned,Pipeline,,folder,,0,,0,0,0,0,New TAZ,,,,,1,,,,,,,,,,,,,1,1
70,Abu Dhabi,28240.0,Yes,Al Bahrani Island_The Grove Development Master Plan,,Level 0,C.I Properties LLC,AL HALAH ISLAND,Western Islands,6,Western Islands,Pre-Concept,No,NA,346030,1005,134,0,134,285430,0,0,18000,42600,0,0,,,,NA,Enquiry Submission Only,,,Not Approved / Lapsed,Future,Future,Yes,folder,,0,,0,0,0,0,New TAZ,,,,,,,1,,,,,,,,,,,1,1
71,Abu Dhabi,32592.0,Yes,Nawras Island,,Level 0,Turquoise Investments SPV Ltd,AL HALAH ISLAND,Western Islands,6,Western Islands,Concept (1),Yes,2023,28091,112,24,24,0,1856,22659,0,12145,0,3576,0,,,,NA,,,,Approved but Not Delivered,Planned,Pipeline,,folder,,0,,0,0,0,0,New TAZ,,,,,,,,,1,,,,,,,,,1,1
72,Abu Dhabi,1610.0,No,Mussaffah Labour Camp,,Level 0,AD Ports,ABU DHABI INDUSTRIAL CITY,Musaffah-ICAD-Mafraq,7,Musaffah,Detailed,Yes,2009,95622,0,0,0,0,0,0,0,0,0,0,0,,,,2010,,,,Partially Delivered,Planned,Pipeline,,folder,,0,,0,0,0,0,NA,,,,,,,,,,,,,,,,,,0,NA
73,Abu Dhabi,ICAD 1,Yes,ICAD 1,,Level 0,AD Ports,ABU DHABI INDUSTRIAL CITY,Musaffah-ICAD-Mafraq,7,Musaffah,Detailed,Yes,,6587534,0,0,0,0,0,0,0,0,0,6587534,0,0,0,0,NA,GFA provided by AD Ports,,,Partially Delivered,Planned,Pipeline,,folder,,11,,936,96129,147079,10194,,,,,,,,,,,,,,,,,,0.45,0.45,1
74,Abu Dhabi,1994.0,Yes,ICAD 2,,Level 0,AD Ports,ABU DHABI INDUSTRIAL CITY,Musaffah-ICAD-Mafraq,7,Musaffah,Detailed,Yes,,6088247.254,0,0,0,0,11288.7656,5644.3828,8466.5742,0,22577.5312,6031803,8467,,,,NA,GFA provided by AD Ports,,,Partially Delivered,Planned,Pipeline,,folder,,3,,0,0,4300,24870,,,,,,,,,,,,,,,,,,0.51,0.51,1
75,Abu Dhabi,1995.0,Yes,ICAD 3,,Level 0,AD Ports,ABU DHABI INDUSTRIAL CITY,Musaffah-ICAD-Mafraq,7,Musaffah,Detailed,Yes,2008,8359005.396,0,0,0,0,227793,228568.9189,228568.9189,0,534104,6835212,304758.5586,,,,2020,,,,Partially Delivered,Planned,Pipeline,,folder,,6,,0,0,17598,48572,,,,,,,,,,,,,,,,,,1,1,1
76,Abu Dhabi,1996.0,Yes,ICAD 4,,Level 0,AD Ports,ABU DHABI INDUSTRIAL CITY,Musaffah-ICAD-Mafraq,7,Musaffah,Concept,Yes,2023,9533855,34961,NA,NA,0,469871,67595,1058344,0,29715,7908330,0,0,0,0,2040,GFA provided by AD Ports,,,Partially Delivered,Planned,Pipeline,,folder,Updated,2,,0,120000,44672,81303,,,,,,,,,,,,,,,,,,0.13,0.13,0.13
77,Abu Dhabi,1997.0,Yes,ICAD 5 - Overall,,Level 0,AD Ports,ABU DHABI INDUSTRIAL CITY,Musaffah-ICAD-Mafraq,7,Musaffah,Concept,Yes,2020,4127375,2000,400,400,0,24000,975122,202438,0,114694,2811121,0,,,,2022,,,,Partially Delivered,Committed,Pipeline,,folder,,25,,0,24000,173560,171037,,,,,,,,,,,,,,,,,,0.5,0.5,1
78,Abu Dhabi,1997.2,Yes,ICAD 5 - Zone 1,1997.0,Level 1,Block 7 Investments LLC,ABU DHABI INDUSTRIAL CITY,Musaffah-ICAD-Mafraq,7,Musaffah,Detailed: MinorAmendment (3),Yes,2024,1743622,1719,753,753,0,83913,226436,329122,74984,483353,545814,0,,,,2022,,,,Partially Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,,,,,,,,1,,,,,,,,,,,1,
78,Abu Dhabi,1997.1,Yes,ICAD 5 - Block 7,1997.2,Level 2,Block 7 Investments LLC,ABU DHABI INDUSTRIAL CITY,Musaffah-ICAD-Mafraq,7,Musaffah,Concept,Yes,2021,214756,1038,424,424,0,50658,23509,76560,21444,42585,0,0,,,,2025,,,,Approved but Not Delivered,Planned,Pipeline,,folder,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1
79,Abu Dhabi,1997.z2_Rahayel,Yes,ICAD 5 - Zone 2 Rahayel,1997.0,Level 1,AD Ports,ABU DHABI INDUSTRIAL CITY,Musaffah-ICAD-Mafraq,7,Musaffah,Detailed: MinorAmendment (3),Yes,2020,4127375,2000,400,400,0,24000,975122,202438,0,114694,2811121,0,,,,2022,,,,Partially Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,0.6,0.6,
80,Abu Dhabi,1997.z2_Remainder,Yes,ICAD 5 - Zone 2 Remainder,1997.0,Level 1,AD Ports,ABU DHABI INDUSTRIAL CITY,Musaffah-ICAD-Mafraq,7,Musaffah,Detailed: MinorAmendment (3),Yes,2020,4127375,2000,400,400,0,24000,975122,202438,0,114694,2811121,0,,,,2022,,,,Partially Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,
79,Abu Dhabi,1997.z3,Yes,ICAD 5 - Zone 3,1997.0,Level 1,AD Ports,ABU DHABI INDUSTRIAL CITY,Musaffah-ICAD-Mafraq,7,Musaffah,Detailed: MinorAmendment (3),Yes,2020,4127375,2000,400,400,0,24000,975122,202438,0,114694,2811121,0,,,,2022,,,,Partially Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,
79,Abu Dhabi,1527.1,Yes,Musafah Garden Residential Tower,,Level 0,Emirates Land Group,MUSAFFAH,Musaffah-ICAD-Mafraq,7,Musaffah,Detailed,Yes,2013,69268,NA,NA,0,0,68308,960,0,0,0,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
80,Abu Dhabi,13222.1,No,Musaffah - DMT MP ,,Level 0,AD Government,MUSAFFAH,Musaffah-ICAD-Mafraq,7,Musaffah,Detailed,TBD,NA,5391544,114000,35212.48235,35212.48235,0,2993061,614291.8,83590.2,449949,239842,0,0,,,,NA,"Urban Revitalization, Assumed 85 Sqm/ Unit",,,Not Approved / Lapsed,Future,Future,No,folder,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,0.5,0.5,0.5
81,Abu Dhabi,1999.0,No,H1-Workers Resid. Cities. Hameem,,Level 0,AD Ports,AL BIHOUTH,Musaffah-ICAD-Mafraq,7,Abu Dhabi,Detailed (2),Yes,2009,TBC,0,0,0,0,0,0,0,0,0,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
82,Abu Dhabi,1740.0,79,Al Markaz-Waha Land,,Level 0,Waha Capital,AL BIHOUTH,Musaffah-ICAD-Mafraq,7,Abu Dhabi,Detailed: MinorAmendment,Yes,2021,621792,0,0,0,0,0,18542,41510,0,3160,558580,0,,,,NA,,,,Partially Delivered,Planned,Pipeline,,folder,,1,,1,153,2626,0,,,,,,,,,,,,,,,,,,0.6,0.6,0.7
83,Abu Dhabi,5394.0,No,Commercial & Mosque,,Level 0,Private,AL BIHOUTH,Musaffah-ICAD-Mafraq,7,Abu Dhabi,Detailed,Yes,2011,7249,NA,NA,0,0,0,5519,432,0,1298,0,0,,,,2020,,,,Approved but Not Delivered,Planned,Pipeline,,folder,,0,,0,0,0,0,NA,,,,,,,,,,,,,,,,,,0,NA
84,Abu Dhabi,2108.1,No,Razeen Labour Camps (x 4),,Level 0,AD Government,AL WATHBAH,Wathba and Haffar,8,Abu Dhabi,Detailed (3),Yes,2010,690720,NA,NA,0,0,690720,0,0,0,0,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
85,Abu Dhabi,2897.0,Yes,Al Haffar Police training Facility,,Level 0,ADP GHQ,AL HAFFAR,Wathba and Haffar,8,Abu Dhabi,Detailed: MinorAmendment (8),Yes,2019,163296,846,764,764,0,15824,0,3941,0,143531,0,0,,,,NA,,,,Partially Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,,,,,,,,1,,,,,,,,,,,1,1
86,Abu Dhabi,Al Haffar,Yes,Al Haffar,,Level 0,AD Government / Aldar,AL HAFFAR,Wathba and Haffar,8,Abu Dhabi,Pre-Concept,No,NA,TBD,28000,4000,TBD,4000,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,,,TBD,Future project - Pre-concept planning estimated #s,Yes,4000,Not Approved / Lapsed,Future,Future,EH,folder,,1,,0,0,0,0,,,,,,,1,,,,,,,,,,,,1,1
87,Abu Dhabi,26626.0,Yes,Al Nahda Master Plan,,Level 0,AD Government / Aldar,BANI YAS,Mainland East,9,Bani Yas,Detailed,Yes,2021,5543949,47893,7239,1720,5519,5139124,126503,0,0,278322,0,0,,,,2025,National Housing,Yes,2609,Approved but Not Delivered,Committed,Pipeline,,folder,,52,,47874,5139123,126499,17000,,,,,,1,,,,,,,,,,,,,1,1
88,Abu Dhabi,25983.0,Yes,West Baniyas National Housing,,Level 0,AD Government / Q Properties,BANI YAS,Mainland East,9,Bani Yas,Detailed (1),Yes,2022,1634279,12608,1659,,1659,1493100,50500,0,0,90679,0,0,,,,2026,National Housing,Yes,1659,Approved but Not Delivered,Committed,Pipeline,,folder,,4,,12607,1493100,50497,0,,,,,1,,,,,,,,,,,,,,1,1
89,Abu Dhabi,21227.0,Yes,Bawabat Al Sharq Development_2,,Level 0,Baniyas Investment,BANI YAS,Mainland East,9,Bani Yas,Detailed,No,2023,692191,8377,1949,NA,NA,479509,160279,1751,,50652,,,,,,2025,,,,Partially Delivered,Committed,Pipeline,,folder,,1,,1983,138636,56573,41489,No,,,,,,,,,,,,1,,,,,,1,1
90,Abu Dhabi,2103.0,No,Bawabat Al Sharq - Phase 1,21227.0,Level 1,Baniyas Investment,BANI YAS,Mainland East,9,Bani Yas,Detailed,Yes,,,,,,,,,,,,,,,,,NA,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
91,Abu Dhabi,2103.1,No,Bawabat Al Sharq Phase 2,21227.0,Level 1,Baniyas Investment,BANI YAS,Mainland East,9,Bani Yas,Detailed,Yes,2011,107741,,142,142,0,107741,0,0,0,0,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
92,Abu Dhabi,2103.2,No,Bawabat Al Sharq Phase 3,21227.0,Level 1,Baniyas Investment,BANI YAS,Mainland East,9,Bani Yas,Detailed: MinorAmendment (2),Yes,2018,60898,982,189,,189,60898,0,0,0,0,0,0,,,,2020,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
93,Abu Dhabi,2103.3,No,Bawabat Al Sharq P4,21227.0,Level 1,Baniyas Investment,BANI YAS,Mainland East,9,Bani Yas,Detailed,Yes,,,,,,,,,,,27337,,,,,,NA,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
94,Abu Dhabi,21227.1,No,Bawabat Al Sharq Development_2,21227.0,Level 1,Baniyas Investment,BANI YAS,Mainland East,9,Bani Yas,Detailed,Yes,2023,19329.93,389,91,0,91,19330,0,0,0,0,0,0,,,,2025,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,NA,,,,,,,,,,,,,,,,,,0,NA
95,Abu Dhabi,17860.0,Yes,Al Reeman 1 (Downtown Shamkha),,Level 0,Aldar,AL SHAMKHAH,Mainland East,9,Al Shamkha,Detailed: MinorAmendment (7),Yes,2023,1720625,37149,12188,11402,786,1454494,143381,150,0,122600,0,0,,,,2040,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,16,,2229,30648,3013,0,No,,,,,,,,,,,,1,,,,,,1,1
96,Abu Dhabi,22345.0,Yes,Al Reeman 2,,Level 0,Aldar,AL SHAMKHAH,Mainland East,9,Al Shamkha,Detailed: MinorAmendment (1),Yes,2021,1027605,11513,1698,,1698,970607,15900,0,0,41098,0,,,,,2020,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,11,,1017,36,0,0,No,,0.4,,,,,1,,,,,,,,,,,1,1
97,Abu Dhabi,Riyadh,Yes,Madinat Al Riyadh,,Level 0,AD Government / Aldar,MADINAT AL RIYAD,Mainland East,9,Al Shamkha,Detailed,Yes,,31288145,299096,44797.15294,18042.15294,26755,26089585.55,396097.1566,716059.7964,47608.11,2801648.992,1218077.51,19067.88708,,,,NA,"National Housing + Commercial / InvestmentPlots, Per MP GIS dated 20200430",Yes,814,Partially Delivered,Committed,Pipeline,,folder,,156,,262787,26021272,407653,776673,,,,,1,,,,,,,,,,,,,0.5,1,1
98,Abu Dhabi,17054.0,Yes,Higher College of Technology Complex,,Level 0,Higher College of Technology,AL SHAWAMEKH,Mainland East,9,Al Shamkha,Detailed (3),Yes,2018,90590,0,0,0,0,0,0,0,0,90590,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
99,Abu Dhabi,21703.0,Yes,Baniyas North MP,,Level 0,AD Government / Aldar,AL SHAWAMEKH,Mainland East,9,Al Shamkha,Detailed: MinorAmendment,Yes,2022,3679147,32568,4914,851,4063,3412247,54717,7000,0,205182,0,0,,,,2023,National Housing,Yes,3453,Approved but Not Delivered,Committed,Pipeline,,folder,,20,,32560,3412244,54709,16999,,,1,,,,,,,,,,,,,,,,1,1
100,Abu Dhabi,SHM13_P1,Yes,SHM13_P1,,Level 0,AD Government / Aldar,AL SHAWAMEKH,Mainland East,9,Al Shamkha,Pre-Concept,No,NA,,,,,,,,,,,,,,,,NA,National Housing?,Yes,TBC,Not Approved / Lapsed,Future,Future,EH,folder,,1,,1287,52730,0,2706,,,,,,,,,,,,,1,,,,,,1,1
101,Abu Dhabi,5365.0,Yes,Al Merief,,Level 0,Aldar,KHALIFA CITY,Mainland Central,10,Airport District,Detailed: MinorAmendment (1),Yes,2017,238580,5695,969,688,281,214269,1950,0,0,22361,0,0,,,,2020,,,,Partially Delivered,Committed,Pipeline,,folder,,1,,1816,228981,24851,690,Yes,,,,,,,1,,,,,,,,,,,1,1
102,Abu Dhabi,1001.8,No,Masdar Amended CMP,,Level 0,MASDAR,KHALIFA CITY,Mainland Central,10,Airport District,Detailed,Yes,2022,3706800,64062,21288,20295,1023,2314751,122192.72,610221.32,100569.28,320440,238626,0,,,,NA,,,,Partially Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,NA
103,Abu Dhabi,1001.15,Yes,Masdar Phase 5,1001.8,Level 1,MASDAR,KHALIFA CITY,Mainland Central,10,Airport District,Detailed: MinorAmendment (2),Yes,2021,338002,5996,1528,615,913,239170,13053,0,0,85779,0,0,,,,2025,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,18,,5996,239170,13054,0,Yes,,,,,,,,,,,,,,,,,0.6,0.6,0.6
104,Abu Dhabi,1001.21,Yes,Masdar Phase 4,1001.8,Level 1,MASDAR,KHALIFA CITY,Mainland Central,10,Airport District,Detailed: MinorAmendment (1),Yes,2021,921883,21850,7886,7886,0,765848,27170.72,32943,11482.28,23880,60559,0,,,,2030,,,,Approved but Not Delivered,Committed,Pipeline,,folder,,18,,21851,765848,27171,32943,Yes,,,,,,,,,,,,,,,,,0.6,0.6,0.6
105,Abu Dhabi,1001.8.1,Yes,Masdar Phase 1 & 2,1001.8,Level 1,MASDAR,KHALIFA CITY,Mainland Central,10,Airport District,Detailed: MinorAmendment (4),Yes,2023,1857608.32,19528,7702,7622,110,744646,72009,577278.32,89087,196521,178067,0,,,,2030,,,,Partially Delivered,Committed,Pipeline,,folder,,48,,18539,708982,72009,612949,Yes,,,,,,,,,,,,1,,,,,,1,1
106,Abu Dhabi,1001.8.x,Yes,Masdar Phase 3,1001.8,Level 1,MASDAR,KHALIFA CITY,Mainland Central,10,Airport District,Detailed: MinorAmendment (4),No,NA,589307,16688,4172,4172,0,565087,9960,0,0,14260,0,0,,,,NA,,,,Not Approved / Lapsed,Future,Future,No,folder,,7,,13640,565087,9960,0,Yes,,,,,,,,,,,,,,,,,0.5,0.5,0.5
107,Abu Dhabi,1115.0,Yes,Al Raha Gardens,,Level 0,Aldar,KHALIFA CITY,Mainland Central,10,Al Raha,Detailed (2),Yes,2009,423162,12250,1458,0,1458,374178,3599,162,0,45223,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,3,,22875,2163000,26958,5172,,1,,,,,,,,,,,,,,,,,1,1
108,Abu Dhabi,1115.1,Yes,Al Raha Gardens Attached Housing,,Level 0,Aldar,KHALIFA CITY,Mainland Central,10,Al Raha,Detailed (6),Yes,2013,64693,980,140,0,140,59082,4267,0,0,1344,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
109,Abu Dhabi,1073.0,Yes,Golf Gardens II,,Level 0,Aldar,KHALIFA CITY,Mainland Central,10,Khalifa City,Detailed (1),Yes,2009,236656,NA,1573,1573,0,228710,2927.6,2195.7,0,2728.7,0,94,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
110,Abu Dhabi,1633.0,Yes,Watani,,Level 0,Aldar,KHALIFA CITY,Mainland Central,10,Khalifa City,Detailed,Yes,2009,869568,17795,1420,0,1420,770169,41666,0,0,57733,0,0,,,,NA,National Housing,Yes,1,Partially Delivered,Committed,Pipeline,,folder,,3,,11603,972664,2145,501,,,,,1,,,,,,,,,,,,,,1,1
111,Abu Dhabi,18916.0,Yes,Al Jinan,1633.0,Level 1,Modon,KHALIFA CITY,Mainland Central,10,Khalifa City,Detailed,Yes,2018,50725,413,55,,55,49500,760,0,0,465,0,0,,,,2020,National Housing?,Yes,55,Approved but Not Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,,,,,1,,,,,,,,,,,,,,1,1
112,Abu Dhabi,2115.15,No,AD Intl. Shooting Club Staff Acc.,,Level 0,Al Forsan,KHALIFA CITY,Mainland Central,10,Khalifa City,Detailed (1),Yes,2010,20301,1068,523,523,0,18997,0,0,0,1304,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
113,Abu Dhabi,2115.2,No,Al Forsan Village,,Level 0,Al Forsan,KHALIFA CITY,Mainland Central,10,Khalifa City,Detailed,Yes,2023,229787,0,813,428,385,219902,6060,0,0,3825,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
114,Abu Dhabi,2115.2.1,Yes,AD International Hotel AD Shooting Club,,Level 0,Al Forsan,KHALIFA CITY,Mainland Central,10,Khalifa City,Detailed,Yes,2009,40065,0,0,0,0,0,0,0,40065,0,0,0,,,,Completed,,,,Partially Delivered,Committed,Pipeline,,folder,,3,,659,75862,0,0,,1,,,,,,,,,,,,,,,,,1,1
115,Abu Dhabi,1919.0,Yes,Maffraq Hospital,,Level 0,SEHA,SHAKHBOUT CITY,Mainland Central,10,Shakhbout City,Detailed,Yes,2010,164070,NA,NA,0,0,0,0,0,0,0,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
116,Abu Dhabi,2105.0,Yes,National Rehabilitation center,,Level 0,SEHA,SHAKHBOUT CITY,Mainland Central,10,Shakhbout City,Detailed,Yes,2011,68206,NA,NA,0,0,0,0,0,0,0,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
117,Abu Dhabi,6029.0,Yes,Al Mafraq Health Community Master Plan,,Level 0,SEHA,SHAKHBOUT CITY,Mainland Central,10,Shakhbout City,Concept (2),Yes,2014,1007765,0,0,,,0,21200,0,24000,962565,0,0,,,,NA,,,,Partially Delivered,Committed,Pipeline,,folder,,1,,2168,84473,32912,10328,,,,,,,,,,,,,,,,,,,0,1
118,Abu Dhabi,1317.0,Yes,Desert Towers- Mohd Bin Zayed,,Level 0,Q Properties,MOHAMED BIN ZAYED CITY,Mainland Central,10,Mohamed Bin Zayed City,Detailed,Yes,2008,366033,6846,1712,1712,0,319491,22681,22681,0,1180,0,0,,,,NA,,,,Approved but Not Delivered,Planned,Pipeline,,folder,,1,,39,3842,367,0,,,,,,,,,,,,,1,,,,,,1,1
119,Abu Dhabi,1239.0,Yes,MBZ-17/1 City Villa Compound,,Level 0,ICT,MOHAMED BIN ZAYED CITY,Mainland Central,10,Mohamed Bin Zayed City,Detailed (2),Yes,2009,55000,NA,170,0,170,54064,0,0,0,936,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
120,Abu Dhabi,5666.0,Yes,Al Ain University technology,,Level 0,Al Ain University of Science and  technology,MOHAMED BIN ZAYED CITY,Mainland Central,10,Mohamed Bin Zayed City,Detailed,Yes,2013,43939,NA,NA,0,0,0,0,0,0,43939,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
121,Abu Dhabi,5753.0,Yes,Burjeel Medical City,,Level 0,Burjeel Hospital,MOHAMED BIN ZAYED CITY,Mainland Central,10,Mohamed Bin Zayed City,Detailed: Minor Amendment (3),Yes,2016,82531,0,0,0,0,0,360,3300,0,78871,0,0,,,,Completed,,,,Completed,Completed,Completed,,folder,,0,,0,0,0,0,,1,,,,,,,,,,,,,,,,,1,1
122,Abu Dhabi,1032.0,Yes,Manazel Medical City,,Level 0,Burjeel Hospital,MOHAMED BIN ZAYED CITY,Mainland Central,10,Mohamed Bin Zayed City,Concept,Yes,2016,370163.1429,3602,966,,,104440,92857.14286,54132,0,88889,0,29845,,,,NA,,,,Partially Delivered,Committed,Pipeline,,folder,,1,,234,8712,51964,68750,,,,,,,,,,,,,,,,,,,0,1
123,Abu Dhabi,15694.0,Yes,MBZ - Z29,,Level 0,AD Government / Aldar,MOHAMED BIN ZAYED CITY,Mainland Central,10,Mohamed Bin Zayed City,Detailed,Yes,NA,995004,5379,699,0,699,943650,9316,0,0,35923,0,6115,,,,NA,National Housing,Yes,0,Approved but Not Delivered,Committed,Pipeline,,folder,,11,,765,33865,9332,0,,,,1,,,,,,,,,,,,,,,1,1
124,Abu Dhabi,Z9_MBZ,Yes,"Z9, MBZ",,Level 0,AD Government,MOHAMED BIN ZAYED CITY,Mainland Central,10,Mohamed Bin Zayed City,Detailed,Yes,NA,,,,,,,,,,,,,,,,NA,National Housing?,Yes,0,Approved but Not Delivered,Committed,Pipeline,,folder,,1,,69,4244,48,13,,,,,1,,,,,,,,,,,,,,1,1
125,Abu Dhabi,23037.0,Yes,Bloom District,,Level 0,Bloom,ZAYED CITY,Mainland Central,10,Capital District,Concept (2),Yes,2023,800000,17819,4573,2026,2547,713791,24950,0,0,61259,0,0,,,,NA,,,,Approved but Not Delivered,Planned,Pipeline,,folder,Updated,1,,3117,239665,10132,0,,,,,,,,,,,,,,,,,,,0,1
126,Abu Dhabi,23037.1,No,Bloom District Phase 1,23037.0,Level 1,Bloom,ZAYED CITY,Mainland Central,10,Capital District,Detailed: MinorAmendment (1),Yes,2022,257820,4037,698,698,0,225546,4450,0,0,27824,0,0,,,,2024,,,,Approved but Not Delivered,Committed,Pipeline,,folder,Updated,0,,0,0,0,0,NA,,,,,,,,,,,,,,,,,,0,NA
127,Abu Dhabi,23037.4,No,Bloom District Phase 2,23037.0,Level 1,Bloom,ZAYED CITY,,,,Detailed (1),Yes,2024,430626,7898,1888,449,1439,349496,20000,0,0,61129,,,,,,2027,,,,Approved but Not Delivered,Committed,Pipeline,,folder,Updated,0,,0,0,0,0,NA,,,,,,,,,,,,,,,,,,0,NA
128,Abu Dhabi,23037.2.1,No,Bloom District -Phase 3,23037.0,Level 1,Bloom,ZAYED CITY,Mainland Central,10,Capital District,Detailed,Yes,2023,167615,4755,1525,1525,0,163168,3850,0,0,597,0,0,,,,2027,,,,Approved but Not Delivered,Committed,Pipeline,,folder,Updated,0,,0,0,0,0,NA,,,,,,,,,,,,,,,,,,0,NA
129,Abu Dhabi,23037.3,No,Bloom District-5,23037.0,Level 1,Bloom,ZAYED CITY,Mainland Central,10,Capital District,Detailed,Yes,2023,58698,1545,392,0,392,56138,0,0,0,2560,0,0,,,,2026,,,,Approved but Not Delivered,Committed,Pipeline,,folder,Updated,0,,0,0,0,0,NA,,,,,,,,,,,,,,,,,,0,NA
130,Abu Dhabi,2100.4,Yes,AD University Educational Park,,Level 0,Abu Dhabi University Holding,ZAYED CITY,Mainland Central,10,Capital District,Concept,Yes,2017,105000,667,190,190,0,25000,2600,22673,0,54727,0,0,,,,2025,,,,Partially Delivered,Committed,Pipeline,,folder,,1,,5272,206236,22709,36881,,,,,,,,,,,,,,,,,,,0,1
131,Abu Dhabi,23168.0,Yes,AD Aviation Mixed use Residential,,Level 0,Abu Dhabi Aviation,ZAYED CITY,Mainland Central,10,Capital District,Detailed (2),Yes,2020,46493,1104,286,214,72,43575,1500,0,0,1418,0,0,,,,2022,,,,Partially Delivered,Committed,Pipeline,,folder,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,0,1
132,Abu Dhabi,2100.0,Yes,Zayed City MP (DMT),,Level 0,AD Government,ZAYED CITY,Mainland Central,10,Capital District,Detailed,Yes,NA,30582160.57,331302,91167,88330,2837,18595406.97,746135.4603,4292534.137,715200,3265344,0,2967540,,,,NA,National Housing + Commercial / InvestmentPlots,Yes,1,Partially Delivered,Committed,Pipeline,,folder,,97,,217906,12569212,675323,1038643,,,,,,,,,,,,,,,,,,0.45,0.45,0.45
133,Abu Dhabi,1413.0,Yes,Abu Dhabi Golf Club Dev,,Level 0,Aldar,KHALIFA CITY,Mainland Central,10,Ban Al Jesrain,Detailed,Yes,2023,88255,966,189,0,189,49644,0,0,37319,1262,0,0,,,,2025,DMP vs Overall,,,Partially Delivered,Committed,Pipeline,,folder,,1,,1433,110094,0,0,,,,,,,,,,,,,,,,,,,0,1
